Country,Year,GDP,Population, Life_Expectancy, Unemployment_Rate, CO2_Emissions, Electricity
Brazil,2010,1493220000000.00,829020000,66.70,3.81,10.79,76.76
Japan,2011,17562700000000.00,897010000,61.40,17.98,15.67,67.86
India,2012,16426880000000.00,669850000,69.10,16.02,2.08,81.08
Mexico,2013,11890010000000.00,113800000,80.10,6.26,19.13,53.46
India,2014,2673020000000.00,29710000,62.70,3.10,15.66,82.17
United Kingdom,2015,10711800000000.00,722560000,74.60,23.24,7.55,64.48
China,2016,6791480000000.00,1492810000,84.60,15.59,10.18,78.46
Indonesia,2017,9467220000000.00,118240000,80.90,10.91,2.87,61.41
United Kingdom,2018,13514030000000.00,1461580000,57.00,3.29,9.29,98.05
India,2019,14257200000000.00,802050000,59.90,18.61,19.10,92.80
Canada,2010,13802700000000.00,909050000,75.40,16.03,4.95,59.87
Argentina,2011,19337350000000.00,1084140000,55.70,19.14,15.86,71.43
India,2012,10492360000000.00,818780000,54.80,2.83,16.49,89.31
Nigeria,2013,6052290000000.00,447700000,82.50,8.56,14.32,98.22
Italy,2014,5800450000000.00,238740000,63.10,6.24,16.54,68.43
Indonesia,2015,10058870000000.00,348990000,62.40,6.82,5.43,99.76
Turkey,2016,6110370000000.00,257480000,84.60,4.08,7.08,65.68
Saudi Arabia,2017,15038000000000.00,1285920000,64.80,6.12,14.07,59.02
Nigeria,2018,11718130000000.00,158310000,65.20,18.78,16.61,89.47
Saudi Arabia,2019,12988290000000.00,766880000,84.90,16.91,3.41,66.31
Saudi Arabia,2010,11649850000000.00,1041990000,73.60,3.20,7.29,59.27
Russia,2011,6110630000000.00,932420000,71.60,6.56,0.81,82.59
France,2012,8354820000000.00,227020000,63.50,5.37,13.85,56.94
China,2013,17735350000000.00,578590000,82.60,18.97,10.62,57.82
United States,2014,13183730000000.00,1279810000,64.80,10.97,9.72,90.13
Argentina,2015,1549940000000.00,1304040000,52.40,11.64,17.15,59.42
Germany,2016,7563440000000.00,1344860000,77.00,10.91,13.91,72.79
Italy,2017,18064210000000.00,931890000,61.40,14.99,17.61,58.46
Mexico,2018,18120300000000.00,1013430000,53.00,24.12,7.01,88.90
United Kingdom,2019,7731710000000.00,354840000,68.70,21.30,3.16,58.83
United States,2010,19635370000000.00,705930000,65.50,18.01,16.99,97.58
United Kingdom,2011,13235260000000.00,849830000,59.50,24.24,15.87,68.85
Nigeria,2012,3299410000000.00,313530000,53.00,7.75,8.53,86.80
Brazil,2013,3323420000000.00,1207240000,64.90,8.52,5.42,65.49
Nigeria,2014,4359939999999.99,1428660000,81.00,19.52,16.55,97.79
Italy,2015,19306190000000.00,104310000,71.70,9.35,4.94,69.90
Saudi Arabia,2016,8399040000000.00,756200000,50.70,16.47,13.57,55.19
South Korea,2017,13078630000000.00,1219400000,74.20,14.81,12.36,64.80
Australia,2018,4447080000000.00,1090030000,75.60,3.69,3.74,86.12
Brazil,2019,9209270000000.00,815700000,79.40,5.82,11.94,57.00
China,2010,11051540000000.00,149740000,82.70,14.63,19.44,50.12
Indonesia,2011,2860590000000.00,254580000,55.60,10.31,3.60,76.75
United States,2012,17950000000000.00,566290000,59.50,15.38,9.53,63.82
Mexico,2013,3158440000000.00,722090000,69.90,17.83,16.58,54.95
Brazil,2014,11803690000000.00,255730000,68.40,6.27,10.83,98.84
China,2015,6739310000000.00,603690000,63.50,18.05,16.88,78.31
India,2016,18649290000000.00,1011750000,74.40,3.04,6.29,58.97
United States,2017,11620000000000.00,656050000,83.30,10.24,9.60,99.02
China,2018,16172620000000.00,101390000,50.50,3.42,5.53,75.80
Brazil,2019,18026090000000.00,366950000,71.00,12.68,6.95,68.95
Italy,2010,5037070000000.00,1485050000,61.70,3.14,2.58,89.10
Japan,2011,13544070000000.00,262160000,66.50,13.53,19.50,90.01
United Kingdom,2012,16433610000000.00,1394680000,70.00,17.91,7.98,59.37
Italy,2013,8101070000000.00,314660000,57.50,20.86,3.74,89.96
Indonesia,2014,9182600000000.00,444620000,59.10,4.10,12.48,71.07
Indonesia,2015,5056910000000.00,1311010000,80.70,24.26,9.94,58.63
Saudi Arabia,2016,9537130000000.00,1329040000,82.20,8.38,12.17,62.50
Nigeria,2017,19332690000000.00,51740000,63.20,5.65,5.49,80.87
France,2018,8648459999999.99,59660000,69.10,19.96,2.72,97.42
France,2019,15291730000000.00,1093350000,62.20,3.59,16.14,55.68
Australia,2010,5407850000000.00,151690000,83.90,3.15,18.51,71.73
Canada,2011,6456990000000.00,405930000,79.90,2.27,9.62,56.49
South Africa,2012,3261270000000.00,862690000,65.20,17.44,9.34,68.90
Russia,2013,15796990000000.00,541370000,67.40,21.30,18.56,52.82
South Africa,2014,7818680000000.00,1492770000,52.70,4.33,1.31,91.38
Argentina,2015,10732260000000.00,1030620000,74.50,22.40,12.13,61.32
Canada,2016,15408270000000.00,273750000,54.50,6.36,14.91,79.49
Mexico,2017,5279010000000.00,815030000,64.60,16.85,3.93,73.88
Japan,2018,1195940000000.00,110470000,58.80,12.22,9.65,56.25
United States,2019,19970290000000.00,1184630000,65.70,17.92,2.57,72.17
South Africa,2010,7485750000000.00,552640000,63.30,13.41,11.79,98.98
India,2011,12017460000000.00,890250000,72.20,9.19,12.42,68.87
United States,2012,15811850000000.00,56210000,69.00,10.02,14.08,60.64
United Kingdom,2013,5435660000000.00,719240000,53.20,22.05,19.51,56.06
Indonesia,2014,4294939999999.99,570500000,56.20,15.82,2.11,98.57
India,2015,9980710000000.00,208150000,65.70,2.54,11.30,66.19
South Korea,2016,4023090000000.00,1349290000,65.20,17.38,14.75,96.05
Mexico,2017,16705700000000.00,1216530000,63.00,11.48,2.67,72.77
India,2018,16681060000000.00,243570000,72.80,11.59,18.42,60.83
Saudi Arabia,2019,15918460000000.00,31010000,81.50,8.43,8.67,50.37
Saudi Arabia,2010,5940730000000.00,258460000,65.80,3.62,5.93,67.57
China,2011,19655420000000.00,67570000,52.10,19.88,2.64,57.07
United Kingdom,2012,2358210000000.00,1283910000,78.70,9.33,11.29,77.19
Russia,2013,10296780000000.00,845880000,50.50,16.57,3.81,93.61
Italy,2014,13299920000000.00,1243970000,76.60,12.73,11.23,53.06
Nigeria,2015,15033350000000.00,1088040000,58.40,18.75,6.77,64.12
Australia,2016,3604370000000.00,574500000,56.70,8.69,2.16,99.49
Canada,2017,18024380000000.00,721250000,51.40,13.68,11.47,93.54
Saudi Arabia,2018,17792730000000.00,1065010000,57.70,10.35,16.31,88.74
France,2019,3202390000000.00,1082770000,54.40,13.25,9.53,78.61
Australia,2010,10511940000000.00,106600000,70.10,17.57,17.34,52.59
Saudi Arabia,2011,2948880000000.00,934960000,71.10,18.05,10.14,90.89
Russia,2012,18586900000000.00,992500000,58.20,18.39,6.30,68.38
United States,2013,13252320000000.00,1285540000,63.30,24.74,3.52,60.03
Italy,2014,18161710000000.00,1367090000,53.70,7.97,19.77,88.75
United Kingdom,2015,2008500000000.00,370940000,64.90,11.76,5.81,72.58
United Kingdom,2016,2422510000000.00,1158500000,64.00,13.35,3.99,62.63
Japan,2017,8064770000000.00,72280000,50.50,2.40,3.75,54.58
Japan,2018,18793060000000.00,1054590000,56.70,10.57,0.93,51.28
Nigeria,2019,16589390000000.00,1312990000,62.90,5.77,8.58,57.83
Argentina,2010,17956630000000.00,77350000,52.20,8.10,5.45,75.50
Australia,2011,5695130000000.00,360220000,74.90,20.24,2.69,66.48
Argentina,2012,12523950000000.00,691470000,80.10,13.84,9.37,86.29
South Korea,2013,14746130000000.00,779960000,71.20,15.06,11.36,92.82
Nigeria,2014,3931760000000.00,1327490000,54.70,24.48,7.40,62.08
Italy,2015,19900750000000.00,915300000,54.10,22.52,12.05,78.45
South Korea,2016,5137880000000.00,568050000,51.40,18.47,3.10,50.57
Germany,2017,4660800000000.00,1071120000,52.40,5.09,5.84,96.99
South Africa,2018,9247190000000.00,768390000,81.90,2.79,17.43,84.20
Indonesia,2019,8402549999999.99,1086020000,68.50,6.57,1.60,85.13
Japan,2010,8351719999999.99,975960000,83.50,16.41,5.19,71.12
Canada,2011,12045040000000.00,334480000,66.80,24.20,1.10,98.23
India,2012,13752030000000.00,573050000,68.40,19.73,18.99,73.28
Brazil,2013,7211860000000.00,533250000,60.50,14.92,15.70,80.13
France,2014,10668930000000.00,9970000,53.20,12.20,13.61,65.16
Germany,2015,1157770000000.00,1235080000,62.90,22.65,2.57,50.30
Argentina,2016,4524260000000.00,1481130000,55.00,8.83,15.83,89.38
South Africa,2017,5192490000000.00,1033360000,77.60,6.77,18.13,67.34
France,2018,13275800000000.00,1174000000,56.40,7.90,6.60,58.90
Saudi Arabia,2019,13952750000000.00,232650000,75.60,9.27,18.05,75.52
Saudi Arabia,2010,19369590000000.00,1160850000,74.50,2.62,9.94,98.67
Nigeria,2011,12892520000000.00,1179260000,77.20,7.28,4.71,51.40
Argentina,2012,19622300000000.00,1089730000,57.90,18.52,1.24,55.74
Germany,2013,2464050000000.00,169820000,59.80,19.24,9.62,70.38
Canada,2014,14397790000000.00,414680000,56.40,22.13,19.10,70.18
Russia,2015,7999460000000.00,544360000,56.70,17.51,0.94,67.94
Russia,2016,5874760000000.00,865490000,72.40,21.17,7.17,95.76
Turkey,2017,18275540000000.00,965840000,80.30,9.86,2.52,58.39
France,2018,15010970000000.00,1041960000,67.70,3.79,17.74,64.28
Italy,2019,14665360000000.00,605040000,57.40,5.68,16.65,55.19
Germany,2010,19572400000000.00,820240000,82.30,19.46,4.11,60.41
India,2011,4770810000000.00,582170000,74.10,7.73,4.16,98.09
Turkey,2012,13647160000000.00,958910000,57.40,7.41,11.80,72.47
Turkey,2013,15421280000000.00,117270000,83.50,12.82,9.01,60.73
Mexico,2014,9244960000000.00,971670000,54.70,15.14,1.37,79.03
China,2015,3894420000000.00,535040000,81.50,5.14,12.31,67.58
Australia,2016,1998330000000.00,1129800000,55.40,3.12,18.27,84.97
France,2017,7644660000000.00,1441290000,54.80,23.88,16.44,65.52
Saudi Arabia,2018,10500360000000.00,1307180000,61.80,17.71,1.88,50.63
Turkey,2019,17515090000000.00,263690000,64.40,4.58,9.29,59.65
Saudi Arabia,2010,13610830000000.00,1498060000,59.80,6.99,8.05,58.66
Italy,2011,19164340000000.00,159020000,58.10,12.80,12.43,51.30
France,2012,2584210000000.00,446060000,60.50,21.79,13.31,56.12
Canada,2013,18790030000000.00,1383380000,60.70,24.14,9.77,51.55
United States,2014,11306670000000.00,569860000,57.80,17.73,19.17,61.85
Japan,2015,8922760000000.00,1192430000,68.70,23.20,11.73,76.00
Russia,2016,14520780000000.00,1027790000,59.20,15.82,19.07,99.61
Argentina,2017,6053130000000.00,574860000,53.20,22.49,8.29,93.07
South Korea,2018,14872270000000.00,1345230000,75.70,15.36,16.89,97.10
Japan,2019,11529620000000.00,398840000,65.70,13.31,2.18,72.70
South Africa,2010,14150210000000.00,945010000,59.10,11.97,8.62,64.26
Mexico,2011,15695540000000.00,1417300000,56.30,6.27,8.28,50.23
Turkey,2012,19983770000000.00,1287970000,66.60,11.28,12.02,52.15
Turkey,2013,14537980000000.00,129910000,52.80,24.55,6.35,64.89
Indonesia,2014,1622550000000.00,1384170000,51.00,24.33,18.08,96.89
South Africa,2015,1575330000000.00,749390000,80.40,17.75,15.01,80.64
Indonesia,2016,11434540000000.00,1453920000,70.80,23.18,5.56,87.70
Indonesia,2017,6982620000000.00,766010000,71.30,5.91,2.67,84.50
United Kingdom,2018,15268160000000.00,129890000,79.70,22.45,16.31,73.76
Canada,2019,6242390000000.00,492280000,82.10,17.94,1.92,61.95
Japan,2010,19425370000000.00,1005960000,62.60,15.46,16.43,72.20
Indonesia,2011,19385710000000.00,502780000,67.50,14.26,6.55,57.46
Argentina,2012,17488880000000.00,170590000,57.70,5.74,12.13,73.58
China,2013,9642390000000.00,1398370000,53.70,9.72,1.16,71.31
Mexico,2014,2248400000000.00,257480000,61.60,18.22,3.81,99.33
Canada,2015,8795260000000.00,1109080000,55.50,22.59,3.33,62.87
India,2016,6372010000000.00,96360000,77.10,13.08,17.19,84.51
Argentina,2017,2785810000000.00,993250000,69.90,14.57,16.38,51.74
France,2018,11921420000000.00,74990000,54.50,24.06,19.84,72.86
Turkey,2019,7362690000000.00,11970000,82.20,2.42,8.09,69.67
India,2010,4299149999999.99,93430000,75.40,23.90,17.20,65.90
Germany,2011,10278320000000.00,673660000,84.90,3.98,4.71,98.59
United Kingdom,2012,14067160000000.00,640390000,72.90,15.24,14.38,94.97
Indonesia,2013,2375280000000.00,549950000,54.00,20.31,7.02,86.41
France,2014,10781290000000.00,130660000,54.90,13.97,15.61,61.83
India,2015,13691740000000.00,1367400000,63.90,3.16,2.70,94.86
South Africa,2016,13649640000000.00,1083480000,83.00,10.06,1.04,90.78
Mexico,2017,8608370000000.00,584570000,68.40,16.86,7.22,52.80
Argentina,2018,4076110000000.00,1268650000,58.30,14.11,14.82,78.62
Argentina,2019,7838600000000.00,387520000,76.30,5.96,16.07,51.05
Japan,2010,4349939999999.99,234270000,54.30,22.95,17.41,62.48
Turkey,2011,18441030000000.00,1374010000,63.40,20.78,4.97,79.16
Indonesia,2012,7460330000000.00,576540000,67.50,5.18,1.04,74.34
France,2013,18185700000000.00,317040000,62.10,14.50,4.43,63.80
Russia,2014,18979150000000.00,661490000,72.70,22.26,12.14,86.32
Brazil,2015,7406730000000.00,359010000,82.40,11.97,9.88,68.19
United Kingdom,2016,9238750000000.00,1300930000,57.50,8.44,4.37,74.24
United States,2017,15718190000000.00,1233280000,63.10,6.78,14.03,87.22
Mexico,2018,12850570000000.00,488300000,76.00,24.63,3.20,79.78
Italy,2019,14533190000000.00,1165030000,61.70,21.84,13.98,54.87
Italy,2010,8047930000000.00,591930000,79.00,22.12,14.58,70.11
India,2011,4681240000000.00,369290000,72.80,21.14,3.28,87.48
United States,2012,1011720000000.00,274330000,75.40,24.79,18.38,88.62
South Korea,2013,12851680000000.00,643250000,70.40,5.79,15.33,76.09
Germany,2014,5277580000000.00,649390000,64.20,16.24,3.75,67.18
India,2015,1110880000000.00,672780000,78.50,22.30,11.36,66.04
Australia,2016,9210290000000.00,689650000,64.90,9.82,15.59,67.29
United States,2017,4937150000000.00,1234820000,61.00,4.14,14.66,91.16
Canada,2018,10886960000000.00,262590000,76.50,2.28,7.25,59.21
United Kingdom,2019,4525980000000.00,535470000,73.70,17.29,16.68,65.48
